artist,title,sanitized_title,title_signature,top_position,first_week
AALIYAH,THE ONE I GAVE MY HEART TO/HOT LIKE FIRE,THE ONE I GAVE MY HEART TOHOT LIKE FIRE,"(3, 3, 1, 4, 2, 5, 5, 4, 4)",30,1997-11-16
AALIYAH,THE THING I LIKE,THE THING I LIKE,"(3, 5, 1, 4)",33,1995-09-03
AALIYAH,TRY AGAIN,TRY AGAIN,"(3, 5)",5,2000-07-16
AALIYAH FT TIMBALAND,WE NEED A RESOLUTION,WE NEED A RESOLUTION,"(2, 4, 1, 10)",20,2001-07-15
AARON CARTER,CRAZY LITTLE PARTY GIRL,CRAZY LITTLE PARTY GIRL,"(5, 6, 5, 4)",7,1998-02-01
AARON CARTER,CRUSH ON YOU,CRUSH ON YOU,"(5, 2, 3)",9,1997-11-23
AARON CARTER,I WANT CANDY,I WANT CANDY,"(1, 4, 5)",31,2000-09-10
AARON CARTER,I'M GONNA MISS YOU FOREVER,IM GONNA MISS YOU FOREVER,"(2, 5, 4, 3, 7)",24,1998-03-22
AARON CARTER,LEAVE IT UP TO ME,LEAVE IT UP TO ME,"(5, 2, 2, 2, 2)",22,2002-04-07
AARON CARTER,SURFIN' USA,SURFIN USA,"(6, 3)",18,1998-06-28
AARON HALL/DE VANTE/SISTA,DANGEROUS MINDS EP.,DANGEROUS MINDS EP,"(9, 5, 2)",35,1996-03-24
AARON SMITH FT LUVLI,DANCIN',DANCIN,"(6,)",20,2006-01-08
AARON SOUL,RING RING RING,RING RING RING,"(4, 4, 4)",14,2001-05-27
ABBA,ANGELEYES/VOULEZ-VOUS,ANGELEYESVOULEZVOUS,"(19,)",3,1979-07-15
ABBA,CHIQUITITA,CHIQUITITA,"(10,)",2,1979-01-28
ABBA,DANCING QUEEN,DANCING QUEEN,"(7, 5)",1,1976-08-15
ABBA,DANCING QUEEN {1992},DANCING QUEEN,"(7, 5)",16,1992-08-30
ABBA,DOES YOUR MOTHER KNOW,DOES YOUR MOTHER KNOW,"(4, 4, 6, 4)",4,1979-04-29
ABBA,DON'T SHUT ME DOWN,DONT SHUT ME DOWN,"(4, 4, 2, 4)",9,2021-09-10
ABBA,FERNANDO,FERNANDO,"(8,)",1,1976-03-28
ABBA,GIMME GIMME GIMME,GIMME GIMME GIMME,"(5, 5, 5)",3,1979-10-14
ABBA,HEAD OVER HEELS,HEAD OVER HEELS,"(4, 4, 5)",25,1982-02-21
ABBA,I DO I DO I DO I DO I DO,I DO I DO I DO I DO I DO,"(1, 2, 1, 2, 1, 2, 1, 2, 1, 2)",38,1975-07-27
ABBA,I HAVE A DREAM,I HAVE A DREAM,"(1, 4, 1, 5)",2,1979-12-09
ABBA,I STILL HAVE FAITH IN YOU,I STILL HAVE FAITH IN YOU,"(1, 5, 4, 5, 2, 3)",14,2021-09-10
ABBA,"KNOWING ME, KNOWING YOU",KNOWING ME KNOWING YOU,"(7, 2, 7, 3)",1,1977-02-27
ABBA,LAY ALL YOUR LOVE ON ME,LAY ALL YOUR LOVE ON ME,"(3, 3, 4, 4, 2, 2)",7,1981-07-12
ABBA,MAMMA MIA,MAMMA MIA,"(5, 3)",1,1975-12-14
ABBA,"MONEY, MONEY, MONEY",MONEY MONEY MONEY,"(5, 5, 5)",3,1976-11-14
ABBA,NAME OF THE GAME,NAME OF THE GAME,"(4, 2, 3, 4)",1,1977-10-16
ABBA,ONE OF US,ONE OF US,"(3, 2, 2)",3,1981-12-06
ABBA,RING RING,RING RING,"(4, 4)",32,1974-07-14
ABBA,SOS,SOS,"(3,)",6,1975-09-21
ABBA,SUMMER NIGHT CITY,SUMMER NIGHT CITY,"(6, 5, 4)",5,1978-09-10
ABBA,SUPER TROUPER,SUPER TROUPER,"(5, 7)",1,1980-11-09
ABBA,TAKE A CHANCE ON ME,TAKE A CHANCE ON ME,"(4, 1, 6, 2, 2)",1,1978-01-29
ABBA,THANK YOU FOR THE MUSIC,THANK YOU FOR THE MUSIC,"(5, 3, 3, 3, 5)",33,1983-11-20
ABBA,THE DAY BEFORE YOU CAME,THE DAY BEFORE YOU CAME,"(3, 3, 6, 3, 4)",32,1982-10-24
ABBA,THE WINNER TAKES IT ALL,THE WINNER TAKES IT ALL,"(3, 6, 5, 2, 3)",1,1980-07-27
ABBA,UNDER ATTACK,UNDER ATTACK,"(5, 6)",26,1982-12-12
ABBA,WATERLOO,WATERLOO,"(8,)",1,1974-04-14
ABC,ALL OF MY HEART,ALL OF MY HEART,"(3, 2, 2, 5)",5,1982-08-29
ABC,BE NEAR ME,BE NEAR ME,"(2, 4, 2)",26,1985-03-31
ABC,ONE BETTER WORLD,ONE BETTER WORLD,"(3, 6, 5)",32,1989-05-21
ABC,POISON ARROW,POISON ARROW,"(6, 5)",6,1982-02-28
ABC,SOS,SOS,"(3,)",39,1984-01-22
ABC,TEARS ARE NOT ENOUGH,TEARS ARE NOT ENOUGH,"(5, 3, 3, 6)",19,1981-11-08
ABC,THAT WAS THEN BUT THIS IS NOW,THAT WAS THEN BUT THIS IS NOW,"(4, 3, 4, 3, 4, 2, 3)",18,1983-10-30
ABC,THE LOOK OF LOVE,THE LOOK OF LOVE,"(3, 4, 2, 4)",4,1982-05-09
ABC,THE NIGHT YOU MURDERED LOVE,THE NIGHT YOU MURDERED LOVE,"(3, 5, 3, 8, 4)",31,1987-09-13
ABC,WHEN SMOKEY SINGS,WHEN SMOKEY SINGS,"(4, 6, 5)",11,1987-05-31
ABIGAIL,SMELLS LIKE TEEN SPIRIT,SMELLS LIKE TEEN SPIRIT,"(6, 4, 4, 6)",29,1994-07-10
ABIGAIL MEAD AND NIGEL GOULDING,FULL METAL JACKET (I WANNA BE YOUR DRILL INSTRUCTOR),FULL METAL JACKET,"(4, 5, 6)",2,1987-09-20
ABRA CADABRA,ON DECK,ON DECK,"(2, 4)",32,2020-07-24
ABS,STOP SIGN,STOP SIGN,"(4, 4)",10,2003-06-01
ABS,WHAT YOU GOT,WHAT YOU GOT,"(4, 3, 3)",4,2002-08-25
ABS FT NODESHA,MISS PERFECT,MISS PERFECT,"(4, 7)",5,2003-08-31
ABSOLUTE FEAT SUZANNE PALMER,I BELIEVE,I BELIEVE,"(1, 7)",38,1997-01-12
ABSOLUTELY FABULOUS,ABSOLUTELY FABULOUS,ABSOLUTELY FABULOUS,"(10, 8)",6,1994-06-05
AC/DC,ARE YOU READY,ARE YOU READY,"(3, 3, 5)",34,1991-04-21
AC/DC,BACK IN BLACK,BACK IN BLACK,"(4, 2, 5)",27,2012-11-25
AC/DC,BIG GUN,BIG GUN,"(3, 3)",23,1993-07-04
AC/DC,FOR THOSE ABOUT TO ROCK (WE SALUTE YOU),FOR THOSE ABOUT TO ROCK,"(3, 5, 5, 2, 4)",15,1982-06-27
AC/DC,GUNS FOR HIRE,GUNS FOR HIRE,"(4, 3, 4)",37,1983-10-30
AC/DC,HARD AS A ROCK,HARD AS A ROCK,"(4, 2, 1, 4)",33,1995-09-24
AC/DC,HEATSEEKER,HEATSEEKER,"(10,)",12,1988-01-10
AC/DC,HIGHWAY TO HELL,HIGHWAY TO HELL,"(7, 2, 4)",4,2012-11-25
AC/DC,HIGHWAY TO HELL (LIVE),HIGHWAY TO HELL,"(7, 2, 4)",14,1992-10-11
AC/DC,LET'S GET IT UP,LETS GET IT UP,"(4, 3, 2, 2)",13,1982-01-31
AC/DC,MONEY TALKS,MONEY TALKS,"(5, 5)",36,1990-11-25
AC/DC,NERVOUS SHAKEDOWN,NERVOUS SHAKEDOWN,"(7, 9)",35,1984-08-05
AC/DC,ROCK 'N' ROLL AIN'T NOISE POLLUTION,ROCK N ROLL AINT NOISE POLLUTION,"(4, 1, 4, 4, 5, 9)",15,1980-11-23
AC/DC,ROCK AND ROLL DAMNATION,ROCK AND ROLL DAMNATION,"(4, 3, 4, 9)",24,1978-06-18
AC/DC,SHAKE YOUR FOUNDATIONS,SHAKE YOUR FOUNDATIONS,"(5, 4, 11)",24,1986-01-12
AC/DC,THAT'S THE WAY I WANNA ROCK 'N' ROLL,THATS THE WAY I WANNA ROCK N ROLL,"(5, 3, 3, 1, 5, 4, 1, 4)",22,1988-03-27
AC/DC,THUNDERSTRUCK,THUNDERSTRUCK,"(13,)",13,1990-09-16
AC/DC,TOUCH TOO MUCH,TOUCH TOO MUCH,"(5, 3, 4)",29,1980-02-10
AC/DC,WHO MADE WHO,WHO MADE WHO,"(3, 4, 3)",16,1986-05-18
AC/DC,WHOLE LOTTA ROSIE,WHOLE LOTTA ROSIE,"(5, 5, 5)",36,1980-06-29
AC/DC,YOU SHOOK ME ALL NIGHT LONG,YOU SHOOK ME ALL NIGHT LONG,"(3, 5, 2, 3, 5, 4)",38,1980-09-14
ACE,HOW LONG,HOW LONG,"(3, 4)",20,1974-11-10
ACE OF BASE,ALL THAT SHE WANTS,ALL THAT SHE WANTS,"(3, 4, 3, 5)",1,1993-05-02
ACE OF BASE,"ALWAYS HAVE, ALWAYS WILL",ALWAYS HAVE ALWAYS WILL,"(6, 4, 6, 4)",12,1998-12-13
ACE OF BASE,BEAUTIFUL LIFE,BEAUTIFUL LIFE,"(9, 4)",15,1996-01-21
ACE OF BASE,CRUEL SUMMER,CRUEL SUMMER,"(5, 6)",8,1998-10-04
ACE OF BASE,DON'T TURN AROUND,DONT TURN AROUND,"(4, 4, 6)",5,1994-06-05
ACE OF BASE,EVERYTIME IT RAINS,EVERYTIME IT RAINS,"(9, 2, 5)",22,1999-04-11
ACE OF BASE,HAPPY NATION,HAPPY NATION,"(5, 6)",40,1994-10-09
ACE OF BASE,LIFE IS A FLOWER,LIFE IS A FLOWER,"(4, 2, 1, 6)",5,1998-07-19
ACE OF BASE,LIVING IN DANGER,LIVING IN DANGER,"(6, 2, 6)",18,1995-01-08
ACE OF BASE,LUCKY LOVE,LUCKY LOVE,"(5, 4)",20,1995-11-05
ACE OF BASE,THE SIGN,THE SIGN,"(3, 4)",2,1994-02-20
ACE OF BASE,WHEEL OF FORTUNE,WHEEL OF FORTUNE,"(5, 2, 7)",20,1993-08-22
ACEN,TRIP II THE MOON,TRIP II THE MOON,"(4, 2, 3, 4)",38,1992-08-02
ACRAZE FT CHERISH,DO IT TO IT,DO IT TO IT,"(2, 2, 2, 2)",9,2021-11-12
ACT ONE,TOM THE PEEPER,TOM THE PEEPER,"(3, 3, 6)",40,1974-05-12
ADAM & THE ANTS,ANT RAP,ANT RAP,"(3, 3)",3,1981-12-06
ADAM & THE ANTS,ANTMUSIC,ANTMUSIC,"(8,)",2,1980-11-30
ADAM & THE ANTS,CARTROUBLE,CARTROUBLE,"(10,)",33,1981-02-01
ADAM & THE ANTS,DEUTSCHER GIRLS,DEUTSCHER GIRLS,"(9, 5)",13,1982-02-21
ADAM & THE ANTS,DOG EAT DOG,DOG EAT DOG,"(3, 3, 3)",4,1980-10-12
ADAM & THE ANTS,KINGS OF THE WILD FRONTIER,KINGS OF THE WILD FRONTIER,"(5, 2, 3, 4, 8)",2,1981-02-15
ADAM & THE ANTS,PRINCE CHARMING,PRINCE CHARMING,"(6, 8)",1,1981-09-06
ADAM & THE ANTS,STAND AND DELIVER,STAND AND DELIVER,"(5, 3, 7)",1,1981-05-03
ADAM & THE ANTS,YOUNG PARISIANS,YOUNG PARISIANS,"(5, 9)",9,1981-01-04
ADAM ANT,APOLLO 9,APOLLO 9,"(6, 1)",13,1984-09-16
ADAM ANT,DESPERATE BUT NOT SERIOUS,DESPERATE BUT NOT SERIOUS,"(9, 3, 3, 7)",33,1982-11-28
ADAM ANT,FRIEND OR FOE,FRIEND OR FOE,"(6, 2, 3)",9,1982-09-12
ADAM ANT,GOODY TWO SHOES,GOODY TWO SHOES,"(5, 3, 5)",1,1982-05-16
ADAM ANT,PUSS 'N BOOTS,PUSS N BOOTS,"(4, 1, 5)",5,1983-10-23
ADAM ANT,ROOM AT THE TOP,ROOM AT THE TOP,"(4, 2, 3, 3)",13,1990-02-11
ADAM ANT,WONDERFUL,WONDERFUL,"(9,)",32,1995-02-05
ADAM CLAYTON & LARRY MULLEN,THEME FROM MISSION: IMPOSSIBLE,THEME FROM MISSION IMPOSSIBLE,"(5, 4, 7, 10)",7,1996-06-09
ADAM F,CIRCLES,CIRCLES,"(7,)",20,1997-09-21
ADAM F,MUSIC IN MY MIND,MUSIC IN MY MIND,"(5, 2, 2, 4)",27,1998-03-01
ADAM F FT LIL' MO,WHERE'S MY,WHERES MY,"(6, 2)",37,2002-03-31
ADAM FAITH,AS YOU LIKE IT,AS YOU LIKE IT,"(2, 3, 4, 2)",5,1962-05-10
ADAM FAITH,BABY TAKE A BOW,BABY TAKE A BOW,"(4, 4, 1, 3)",22,1962-12-13
ADAM FAITH,DON'T THAT BEAT ALL,DONT THAT BEAT ALL,"(4, 4, 4, 3)",8,1962-09-06
ADAM FAITH,DON'T YOU KNOW IT?,DONT YOU KNOW IT,"(4, 3, 4, 2)",12,1961-07-27
ADAM FAITH,EASY GOING ME,EASY GOING ME,"(4, 5, 2)",12,1961-04-27
ADAM FAITH,HOW ABOUT THAT,HOW ABOUT THAT,"(3, 5, 4)",4,1960-09-15
ADAM FAITH,I LOVE BEING IN LOVE WITH YOU,I LOVE BEING IN LOVE WITH YOU,"(1, 4, 5, 2, 4, 4, 3)",33,1964-05-28
ADAM FAITH,IF HE TELLS YOU,IF HE TELLS YOU,"(2, 2, 5, 3)",25,1964-03-19
ADAM FAITH,LONELY PUP (IN A CHRISTMAS SHOP),LONELY PUP,"(6, 3)",4,1960-11-17
ADAM FAITH,LONESOME,LONESOME,"(8,)",12,1962-01-18
ADAM FAITH,MESSAGE TO MARTHA (KENTUCKY BLUEBIRD),MESSAGE TO MARTHA,"(7, 2, 6)",12,1964-11-26
ADAM FAITH,POOR ME,POOR ME,"(4, 2)",1,1960-01-22
ADAM FAITH,SOMEONE ELSE'S BABY,SOMEONE ELSES BABY,"(7, 5, 4)",2,1960-04-14
ADAM FAITH,SOMEONE'S TAKEN MARIA AWAY,SOMEONES TAKEN MARIA AWAY,"(8, 5, 5, 4)",34,1965-07-08
ADAM FAITH,STOP FEELING SORRY FOR YOURSELF,STOP FEELING SORRY FOR YOURSELF,"(4, 7, 5, 3, 8)",23,1965-02-11
ADAM FAITH,THE FIRST TIME,THE FIRST TIME,"(3, 5, 4)",5,1963-09-26
ADAM FAITH,THE TIME HAS COME,THE TIME HAS COME,"(3, 4, 3, 4)",4,1961-10-26
ADAM FAITH,WALKIN' TALL,WALKIN TALL,"(6, 4)",23,1963-07-11
ADAM FAITH,WE ARE IN LOVE,WE ARE IN LOVE,"(2, 3, 2, 4)",11,1963-12-19
ADAM FAITH,WHAT DO YOU WANT?,WHAT DO YOU WANT,"(4, 2, 3, 4)",1,1959-11-20
ADAM FAITH,WHAT NOW,WHAT NOW,"(4, 3)",31,1963-01-31
ADAM FAITH,WHEN JOHNNY COMES MARCHING HOME/MADE YOU,WHEN JOHNNY COMES MARCHING HOMEMADE YOU,"(4, 6, 5, 8, 8, 3)",5,1960-06-30
ADAM FAITH,WHO AM I?/THIS IS IT,WHO AM ITHIS IS IT,"(3, 2, 5, 2, 2)",5,1961-02-09
ADAM GARCIA,NIGHT FEVER,NIGHT FEVER,"(5, 5)",15,1998-05-10
ADAM LAMBERT,FOR YOUR ENTERTAINMENT,FOR YOUR ENTERTAINMENT,"(3, 4, 13)",37,2010-05-02
ADAM LAMBERT,NEVER CLOSE OUR EYES,NEVER CLOSE OUR EYES,"(5, 5, 3, 4)",17,2012-07-15
ADAM RICKITT,BEST THING,BEST THING,"(4, 5)",25,2000-01-30
ADAM RICKITT,EVERYTHING MY HEART DESIRES,EVERYTHING MY HEART DESIRES,"(10, 2, 5, 7)",15,1999-10-10
ADAM RICKITT,I BREATHE AGAIN,I BREATHE AGAIN,"(1, 7, 5)",5,1999-06-20
ADAM WADE,TAKE GOOD CARE OF HER,TAKE GOOD CARE OF HER,"(4, 4, 4, 2, 3)",38,1961-06-08
ADAMSKI,KILLER,KILLER,"(6,)",1,1990-04-08
ADAMSKI,N-R-G,NRG,"(3,)",12,1990-01-14
ADAMSKI,THE SPACE JUNGLE,THE SPACE JUNGLE,"(3, 5, 6)",7,1990-09-02
ADELE,CHASING PAVEMENTS,CHASING PAVEMENTS,"(7, 9)",2,2008-01-20
ADELE,COLD SHOULDER,COLD SHOULDER,"(4, 8)",18,2008-04-27
ADELE,EASY ON ME,EASY ON ME,"(4, 2, 2)",1,2021-10-22
ADELE,HELLO,HELLO,"(5,)",1,2015-10-30
ADELE,HOMETOWN GLORY,HOMETOWN GLORY,"(8, 5)",19,2008-02-03
ADELE,I CAN'T MAKE YOU LOVE ME,I CANT MAKE YOU LOVE ME,"(1, 4, 4, 3, 4, 2)",37,2012-10-07
ADELE,I DRINK WINE,I DRINK WINE,"(1, 5, 4)",4,2021-11-26
ADELE,MAKE YOU FEEL MY LOVE,MAKE YOU FEEL MY LOVE,"(4, 3, 4, 2, 4)",4,2008-11-02
ADELE,OH MY GOD,OH MY GOD,"(2, 2, 3)",2,2021-11-26
ADELE,ROLLING IN THE DEEP,ROLLING IN THE DEEP,"(7, 2, 3, 4)",2,2011-01-23
ADELE,SEND MY LOVE (TO YOUR NEW LOVER),SEND MY LOVE,"(4, 2, 4)",5,2016-06-03
ADELE,SET FIRE TO THE RAIN,SET FIRE TO THE RAIN,"(3, 4, 2, 3, 4)",11,2011-06-19
ADELE,SKYFALL,SKYFALL,"(7,)",2,2012-10-07
ADELE,SOMEONE LIKE YOU,SOMEONE LIKE YOU,"(7, 4, 3)",1,2011-01-30
ADELE,WATER UNDER THE BRIDGE,WATER UNDER THE BRIDGE,"(5, 5, 3, 6)",39,2017-01-06
ADELE,WHEN WE WERE YOUNG,WHEN WE WERE YOUNG,"(4, 2, 4, 5)",9,2015-11-27
ADEVA,DON'T LET IT SHOW ON YOUR FACE,DONT LET IT SHOW ON YOUR FACE,"(4, 3, 2, 4, 2, 4, 4)",34,1992-02-23
ADEVA,I THANK YOU,I THANK YOU,"(1, 5, 3)",17,1989-10-15
ADEVA,RESPECT,RESPECT,"(7,)",17,1989-01-08
ADEVA,WARNING!,WARNING,"(7,)",17,1989-08-13
ADINA HOWARD,FREAK LIKE ME,FREAK LIKE ME,"(5, 4, 2)",33,1995-04-30
ADRIAN BAKER,SHERRY,SHERRY,"(6,)",10,1975-07-20
ADRIAN GURVITZ,CLASSIC,CLASSIC,"(7,)",8,1982-02-21
ADVENTURES,BROKEN LAND,BROKEN LAND,"(6, 4)",20,1988-04-24
ADVERTS,GARY GILMORE'S EYES,GARY GILMORES EYES,"(4, 8, 4)",18,1977-08-21
ADVERTS,NO TIME TO BE 21,NO TIME TO BE 21,"(2, 4, 2, 2, 2)",34,1978-02-05
AEROSMITH,CRAZY/BLIND MAN,CRAZYBLIND MAN,"(10, 3)",23,1994-10-30
AEROSMITH,CRYIN',CRYIN,"(5,)",17,1993-10-24
AEROSMITH,DUDE (LOOKS LIKE A LADY) {1990},DUDE,"(4,)",20,1990-02-18
AEROSMITH,EAT THE RICH,EAT THE RICH,"(3, 3, 4)",34,1993-06-27
AEROSMITH,FALLING IN LOVE (IS HARD ON THE KNEES),FALLING IN LOVE,"(7, 2, 4)",22,1997-03-02
AEROSMITH,HOLE IN MY SOUL,HOLE IN MY SOUL,"(4, 2, 2, 4)",29,1997-06-15
AEROSMITH,I DON'T WANT TO MISS A THING,I DONT WANT TO MISS A THING,"(1, 4, 4, 2, 4, 1, 5)",4,1998-09-06
AEROSMITH,JADED,JADED,"(5,)",13,2001-03-11
AEROSMITH,LIVIN' ON THE EDGE,LIVIN ON THE EDGE,"(5, 2, 3, 4)",19,1993-04-04
AEROSMITH,LOVE IN AN ELEVATOR,LOVE IN AN ELEVATOR,"(4, 2, 2, 8)",13,1989-09-03
AEROSMITH,PINK,PINK,"(4,)",13,1997-12-21
AEROSMITH,SHUT UP AND DANCE,SHUT UP AND DANCE,"(4, 2, 3, 5)",24,1994-06-26
AFI,GIRL'S NOT GREY,GIRLS NOT GREY,"(5, 3, 4)",22,2003-06-15
AFRIKA BAMBAATAA AND FAMILY,RECKLESS FT UB40,RECKLESS FT UB40,"(8, 2, 4)",17,1988-02-28
AFRIKA BAMBAATAA AND THE SOUL SONIC FORCE,THE RENEGADES OF FUNK,THE RENEGADES OF FUNK,"(3, 9, 2, 4)",30,1984-03-04
AFRIKA BAMBAATAA VS CARPE DIEM,GOT TO GET UP,GOT TO GET UP,"(3, 2, 3, 2)",22,1998-10-11
AFRO MEDUSA,PASILDA,PASILDA,"(7,)",31,2000-10-22
AFROJACK & STEVE AOKI,NO BEEF,NO BEEF,"(2, 4)",25,2011-11-13
AFROJACK FT CHRIS BROWN,AS YOUR FRIEND,AS YOUR FRIEND,"(2, 4, 6)",21,2013-06-09
AFROJACK FT EVA SIMONS,TAKE OVER CONTROL,TAKE OVER CONTROL,"(4, 4, 7)",24,2010-12-05
AFROJACK FT SPREE WILSON,THE SPARK,THE SPARK,"(3, 5)",17,2013-12-01
AFROJACK FT WRABEL,TEN FEET TALL,TEN FEET TALL,"(3, 4, 4)",20,2014-05-25
AFROMAN,BECAUSE I GOT HIGH,BECAUSE I GOT HIGH,"(7, 1, 3, 4)",1,2001-10-21
AFROMAN,CRAZY RAP,CRAZY RAP,"(5, 3)",10,2002-01-27
AFTER THE FIRE,ONE RULE FOR YOU,ONE RULE FOR YOU,"(3, 4, 3, 3)",40,1979-06-24
AFTERSHOCK,SLAVE TO THE VIBE,SLAVE TO THE VIBE,"(5, 2, 3, 4)",11,1993-08-15
AGE OF LOVE,THE AGE OF LOVE,THE AGE OF LOVE,"(3, 3, 2, 4)",38,1998-09-13
AGE OF LOVE,THE AGE OF LOVE - THE REMIXES,THE AGE OF LOVE  THE REMIXES,"(3, 3, 2, 4, 0, 3, 7)",17,1997-06-29
AGENT SUMO,WHY,WHY,"(3,)",40,2002-04-14
AGGRO SANTOS,SAINT OR SINNER,SAINT OR SINNER,"(5, 2, 6)",19,2010-08-29
AGGRO SANTOS FT KIMBERLY WYATT,CANDY,CANDY,"(5,)",5,2010-05-09
AGGRO SANTOS/KIMBERLEY WALSH,LIKE U LIKE,LIKE U LIKE,"(4, 1, 4)",8,2011-01-23
AGNELLI & NELSON,EL NINO,EL NINO,"(2, 4)",21,1998-08-09
AGNELLI & NELSON,EMBRACE,EMBRACE,"(7,)",35,2000-06-11
AGNELLI & NELSON,EVERY DAY,EVERY DAY,"(5, 3)",17,1999-09-05
AGNELLI & NELSON,EVERYDAY,EVERYDAY,"(8,)",33,2002-06-09
AGNELLI & NELSON,HUDSON STREET,HUDSON STREET,"(6, 6)",29,2000-09-03
AGNES,I NEED YOU NOW,I NEED YOU NOW,"(1, 4, 3, 3)",40,2009-11-22
AGNES,RELEASE ME,RELEASE ME,"(7, 2)",3,2009-05-31
AGNETHA FALTSKOG,IF I THOUGHT YOU'D EVER CHANGE YOUR MIND,IF I THOUGHT YOUD EVER CHANGE YOUR MIND,"(2, 1, 7, 4, 4, 6, 4, 4)",11,2004-04-18
AGNETHA FALTSKOG,THE HEAT IS ON,THE HEAT IS ON,"(3, 4, 2, 2)",35,1983-05-29
AGNETHA FALTSKOG,WHEN YOU WALK IN THE ROOM,WHEN YOU WALK IN THE ROOM,"(4, 3, 4, 2, 3, 4)",34,2004-06-20
AIDEN GRIMSHAW,IS THIS LOVE,IS THIS LOVE,"(2, 4, 4)",35,2012-06-10
AINSLIE HENDERSON,KEEP ME A SECRET,KEEP ME A SECRET,"(4, 2, 1, 6)",5,2003-03-02
AIR,ALL I NEED,ALL I NEED,"(3, 1, 4)",29,1998-11-15
AIR,KELLY WATCH THE STARS,KELLY WATCH THE STARS,"(5, 5, 3, 5)",18,1998-05-10
AIR,RADIO NO 1,RADIO NO 1,"(5, 2, 1)",31,2001-05-27
AIR,SEXY BOY,SEXY BOY,"(4, 3)",13,1998-02-15
AIR SUPPLY,ALL OUT OF LOVE,ALL OUT OF LOVE,"(3, 3, 2, 4)",11,1980-10-05
AIR TRAFFIC,CHARLOTTE,CHARLOTTE,"(9,)",33,2007-04-01
AIR TRAFFIC,SHOOTING STAR,SHOOTING STAR,"(8, 4)",30,2007-06-24
AIR/GORDON TRACKS,PLAYGROUND LOVE,PLAYGROUND LOVE,"(10, 4)",25,2000-02-20
AIRBORNE TOXIC EVENT,SOMETIME AROUND MIDNIGHT,SOMETIME AROUND MIDNIGHT,"(8, 6, 8)",33,2009-02-01
AIRHEAD,COUNTING SHEEP,COUNTING SHEEP,"(8, 5)",35,1991-12-22
AIRHEADZ,STANLEY (HERE I AM),STANLEY,"(7,)",36,2001-04-22
AIRI L,WHEN LOVE TAKES OVER,WHEN LOVE TAKES OVER,"(4, 4, 5, 4)",22,2009-06-14
AIRSCAPE,L'ESPERANZA,LESPERANZA,"(10,)",33,1999-11-28
AIRSCAPE,PACIFIC MELODY,PACIFIC MELODY,"(7, 6)",27,1997-08-03
AITCH,30,30,"(2,)",36,2020-06-05
AITCH,LEARNING CURVE,LEARNING CURVE,"(8, 5)",27,2021-07-02
AITCH,MICE,MICE,"(4,)",34,2020-02-28
AITCH,TASTE (MAKE IT SHAKE),TASTE,"(5,)",2,2019-08-09
AITCH FT ZIEZIE,BUSS DOWN,BUSS DOWN,"(4, 4)",8,2019-09-13
AITCH/AJ TRACEY/TAY KEITH,RAIN,RAIN,"(4,)",3,2020-03-13
AITCH/ASHANTI,BABY,BABY,"(4,)",2,2022-03-18
AJ TRACEY,ANXIOUS,ANXIOUS,"(7,)",34,2021-03-12
AJ TRACEY,LADBROKE GROVE,LADBROKE GROVE,"(8, 5)",3,2019-06-14
AJ TRACEY,LITTLE MORE LOVE,LITTLE MORE LOVE,"(6, 4, 4)",21,2021-04-23
AJ TRACEY,LO(V/S)ER,LOER,"(4,)",38,2018-09-07
AJ TRACEY,PSYCH OUT,PSYCH OUT,"(5, 3)",18,2019-01-25
AJ TRACEY & MABEL,WEST TEN,WEST TEN,"(4, 3)",5,2020-07-10
AJ TRACEY & NOT3S,BUTTERFLIES,BUTTERFLIES,"(11,)",19,2018-06-08
AJ TRACEY & SKEPTA,KISS AND TELL,KISS AND TELL,"(4, 3, 4)",31,2019-11-08
AJ TRACEY FT MOSTACK,DINNER GUEST,DINNER GUEST,"(6, 5)",5,2020-05-08
AJ TRACEY FT MOSTACK & NOT3S,FLOSS,FLOSS,"(5,)",22,2019-11-01
AKON,BEAUTIFUL,BEAUTIFUL,"(9,)",30,2009-03-01
AKON,BELLY DANCER (BANANZA),BELLY DANCER,"(5, 6)",5,2005-08-14
AKON,DON'T MATTER,DONT MATTER,"(4, 6)",3,2007-04-15
AKON,LOCKED UP,LOCKED UP,"(6, 2)",5,2005-02-27
AKON,LONELY,LONELY,"(6,)",1,2005-05-08
AKON,RIGHT NOW (NA NA NA),RIGHT NOW,"(5, 3)",6,2008-11-02
AKON,SORRY BLAME IT ON ME,SORRY BLAME IT ON ME,"(5, 5, 2, 2, 2)",22,2007-09-16
AKON FT EMINEM,SMACK THAT,SMACK THAT,"(5, 4)",1,2006-11-12
AKON FT K OFFISHALL/C O'DONIS,BEAUTIFUL,BEAUTIFUL,"(9,)",8,2009-03-08
AKON FT SNOOP DOGGY DOGG,I WANNA LOVE YOU,I WANNA LOVE YOU,"(1, 5, 4, 3)",3,2007-01-14
AL CAIOLA,THEME FROM 'THE MAGNIFICENT SEVEN',THEME FROM THE MAGNIFICENT SEVEN,"(5, 4, 3, 11, 5)",34,1961-06-15
AL GREEN,I'M STILL IN LOVE WITH YOU,IM STILL IN LOVE WITH YOU,"(2, 5, 2, 4, 4, 3)",35,1972-08-27
AL GREEN,LET'S STAY TOGETHER,LETS STAY TOGETHER,"(4, 4, 8)",7,1972-01-09
AL GREEN,LOVE,LOVE,"(4,)",24,1975-03-16
